,W_n1,W_n2,X1,X2
0,1.97,1.35,0.5039911290392924,2.089052820829676
1,1.97,1.37,0.5026049362884539,2.0789973056087887
2,1.97,1.4,0.5011701442461842,2.068798996307261
3,1.97,1.42,0.49967502233702943,2.058459354421362
4,1.97,1.45,0.49808602129777685,2.0479797589215285
5,1.97,1.47,0.49644681736174207,2.0373615133668292
6,1.95,1.32,0.5039923115248038,2.0890181468433178
7,1.95,1.35,0.5026061626701911,2.078964169311354
8,1.95,1.37,0.5011714148917988,2.068767315366797
9,1.95,1.4,0.4996763863293583,2.0584290521998607
10,1.95,1.42,0.4980874316637799,2.047950763961125
11,1.95,1.45,0.49644827408843245,2.0373337589322262
12,1.92,1.3,0.5039935639705562,2.0889814188658837
13,1.92,1.32,0.5026074616101515,2.0789290700328493
14,1.92,1.35,0.501172760715473,2.0687337575945404
15,1.92,1.37,0.49967783102356234,2.0583969547697545
16,1.92,1.4,0.49808892547655503,2.047920051193743
17,1.92,1.42,0.49644981700613877,2.0373043601478193
18,1.9,1.27,0.503994890508982,2.088942515260741
19,1.9,1.3,0.502608837394338,2.07889189151636
20,1.9,1.32,0.5011741861580824,2.0686982118280195
21,1.9,1.35,0.49967936118693396,2.058362955796544
22,1.9,1.37,0.49809050766568264,2.0478875188638
23,1.9,1.4,0.4964514512067089,2.0372732196053893
24,1.87,1.25,0.5039962955157993,2.088901307192367
25,1.87,1.27,0.5026102945610934,2.0788525106238347
26,1.87,1.3,0.5011756959219786,2.0686605603237855
27,1.87,1.32,0.49968098186746807,2.0583269426495527
28,1.87,1.35,0.4980921834510213,2.047853059190537
29,1.87,1.37,0.4964531820818389,2.0372402341271743
30,1.85,1.22,0.5039977836242303,2.0888576582010145
31,1.85,1.25,0.5026118379158508,2.0788107969285217
32,1.85,1.27,0.5011772949862682,2.0686206783680174
33,1.85,1.3,0.49968269841027735,2.0582887960295673
34,1.85,1.32,0.49809395835968207,2.0478165580104304
35,1.85,1.35,0.49645501534061365,2.037205294425547
36,1.82,1.2,0.503999359740044,2.088811423751997
37,1.82,1.22,0.5026134725467386,2.0787666122842854
38,1.82,1.25,0.5011789886229912,2.0685784338645936
39,1.82,1.27,0.4996845164749592,2.0582483895744152
40,1.82,1.3,0.4980958382439869,2.0477778944007987
41,1.82,1.32,0.49645695702806103,2.037168284741019
42,1.8,1.17,0.5040010290574689,2.0887624507587326
43,1.8,1.2,0.5026152038410832,2.0787198103693814
44,1.8,1.22,0.5011807824142196,2.0685336868981747
45,1.8,1.25,0.49968644205395246,2.0582055894413194
46,1.8,1.27,0.4980978293004605,2.047736940278953
47,1.8,1.3,0.496459013544769,2.0371290824593657
48,1.77,1.15,0.504002797076009,2.0887105770769683
49,1.77,1.17,0.5026170375028602,2.0786702362031675
50,1.77,1.2,0.5011826822701448,2.0684862892722586
51,1.77,1.22,0.4996884814919562,2.058160253863888
